anime_id,mal_id,title,english_title,user_preferred_title,cover_image_large
187514,61151.0,"Let's Roll, Cinnamoroll!","Let's Roll, Cinnamoroll!","Let's Roll, Cinnamoroll!",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx187514-NvIkv0KVoYBF.jpg
187507,59458.0,Duel Masters LOST: Gekka no Shinigami,,Duel Masters LOST: Gekka no Shinigami,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx187507-QqJ6HlOm65Iy.png
185901,61040.0,TRUST,,TRUST,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185901-iRIID6SJ3ugs.png
185900,61039.0,Hoshi no Kodomo to Hajimari no Ki,,Hoshi no Kodomo to Hajimari no Ki,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185900-c5hOndo2zcNd.png
185898,61038.0,Galaxy Apartment★Cosmo Hills,,Galaxy Apartment★Cosmo Hills,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185898-NnuSreMijs7g.png
185539,61016.0,Alps no Roujin Heidi no Ojii-san,,Alps no Roujin Heidi no Ojii-san,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185539-57P8xM9whe1b.png
185903,61041.0,DIVE IN!,,DIVE IN!,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185903-sTZFMXJGnwu4.png
185643,60613.0,Oshiri Tantei: STAR AND MOON,,Oshiri Tantei: STAR AND MOON,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b185643-GdoqcxGGXqq5.png
183412,56335.0,Shimajirou: Shimajirou to Yuuki no Uta,,Shimajirou: Shimajirou to Yuuki no Uta,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx183412-aquaVDg24IRw.png
189733,61197.0,Haai! Myakumyaku desu,,Haai! Myakumyaku desu,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx189733-PgwNxBPV1BSA.jpg
206071,61183.0,Futsuu no Seikatsu,,Futsuu no Seikatsu,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx206071-vzOH2H4EPxFn.jpg
149118,51818.0,Enen no Shouboutai: San no Shou,Fire Force Season 3,Enen no Shouboutai: San no Shou,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx149118-AOQb0xuTssGl.jpg
167336,56038.0,Lazarus,LAZARUS,Lazarus,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx167336-KpGIIBie71OX.png
178680,59160.0,WIND BREAKER Season 2,WIND BREAKER Season 2,WIND BREAKER Season 2,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx178680-nIAhCizY46ZU.jpg
